Year,Cement,raw
1965,63712,373563100
1966,64923,380665400
1967,63822,374213200
1968,67767,397342900
1969,69852,409564200
1970,65567,384445000
1971,70018,410538000
1972,71651,78981831
1973,80526,88764474
1974,69533,76647061
1975,59711,65819844
1976,63147,69607518
1977,68615,75634867
1978,72415,79823596
1979,71341,78639606
1980,65366,72054179
1981,63440,69931000
1982,55403,61071000
1983,61226,67490000
1984,67507,74414000
1985,67742,74673000
1986,68236,75217000
1987,67637,74557000
1988,66471,73272000
1989,67036,73895000
1990,67043,73902000
1991,63003,69449000
1992,60637,66841000
1993,64270,70845000
1994,75216,82911125
1995,73540,73539788
1996,76951,76951024
1997,80589,80589218
1998,83092,83091737
1999,84383,84383019
2000,86273,86273119
2001,88193,88192794
2002,86912,86912286
2003,91149,91148690
2004,94843,94842531
2005,96249,96248627
2006,93491,93491345
2007,92058,92058390
2008,84512,84512379
2009,64103,64102600
2010,64358,64358084
2011,66613,66612649
2012,72528,72528208
2013,75625,75624787
2014,80995,80995327
2015,81927,81927422
2016,82655,82654621
2017,84257,84256880
2018,85290,85289803
2019,87298,87298313
2020,88782,88782360
2021,90811,90811365
