year,cpi,unemploy,gdp,oilprice,population1,population2,Cement,housing,gasppi,workers,lime,silica,limestone,householdnum,urbanpop,oilconsump
1968,4.27179615288534,3.558333333333333,4795.387,3.07,200745.33333333334,NA,67767,1319.8,7.6,40912,16907,24471,75978,NA,72.974,38.100695
1969,5.4623862002875,3.4916666666666667,4945.23525,3.295,202735.83333333334,1990.5,69852,1399,7.725,43633,18333,26327,76387,1401,73.333,39.58286
1970,5.83825533848253,4.9833333333333325,4954.435750000001,3.3508333333333336,205088.83333333334,2353,65567,1418.4,7.916666666666665,43823,17914,26440,75505,1187,73.602,40.813953000000005
1971,4.29276668813045,5.95,5117.603,3.56,207691.75,2602.916666666657,70018,1706.1,8.433333333333334,45223,17773,23733,77888,1377,73.613,41.702086
1972,3.27227824655283,5.6,5386.733,3.56,209924.08333333334,2232.333333333343,71651,2003.9,9.041666666666666,47477,18407,26789,77040,1898,73.623,44.435703
1973,6.17776006377041,4.8583333333333325,5690.85275,3.8725,211938.66666666666,2014.583333333314,80526,2100.5,9.8,50005,19133,26285,78652,1575,73.633,46.57292
1974,11.0548048048048,5.641666666666667,5660.09075,10.372499999999999,213898.25,1959.583333333343,69533,1728.5,11.566666666666666,49135,19601,26372,79530,1608,73.643,44.302355000000006
1975,9.14314686496534,8.475,5648.46175,11.16,215981,2082.75,59711,1317.2,16.083333333333332,43283,17356,24751,69322,1261,73.653,42.834492
1976,5.74481263549085,7.7,5952.809,12.645,218086.25,2105.25,63147,1377.2,21.80833333333333,43929,18279,27138,73792,1747,73.663,45.621010000000005
1977,6.50168399472839,7.05,6228.076499999999,14.295833333333334,220289.08333333334,2202.833333333343,68615,1657.1,30.79166666666666,47268,18096,28449,73908,1275,73.673,47.677574
1978,7.63096383885602,6.066666666666666,6572.819,14.85,222628.91666666666,2339.833333333314,72415,1867.5,36.49166666666666,51851,18546,29801,71170,1888,73.682,48.197836
1979,11.2544711292795,5.85,6780.92375,22.40416666666667,225106.16666666666,2477.25,71341,1870.8,47.658333333333324,54746,19001,30400,73578,1300,73.692,46.52857
1980,13.5492019749684,7.175,6763.51375,37.375,227725.83333333334,2619.666666666686,65366,1501.6,63.275,53444,17246,27651,71023,3446,73.738,42.36565
1981,10.3347153402771,7.616666666666665,6935.153249999999,36.666666666666664,230008.5,2282.666666666657,63440,1265.7,82.08333333333333,51650,17106,27197,66248,1592,73.89,39.05428
