Year,Lime,sold,used
1968,"16,907",12054,6583
1969,"18,333",13113,7096
1970,"17,914",12718,7029
1971,"17,773",12337,7254
1972,"18,407",13353,6937
1973,"19,133",14394,6696
1974,"19,601",14640,6966
1975,"17,356",12840,6292
1976,"18,279",14024,6125
1977,"18,096",14202,5745
1978,"18,546",15062,5381
1979,"19,001",15423,5522
1980,"17,246",13809,5201
1981,"17,106",14271,4585
1982,"12,769",10856,3219
1983,"13,487",12083,2784
1984,"14,444",13064,2858
1985,"14,234",13409,2281
1986,"13,131",12097,2377
1987,"14,273",13105,2628
1988,"15,688",14976,2317
1989,"15,559",13622,1937
1990,"15,832",14014,1818
1991,"15,667",13848,1819
1992,"16,199",14306,1893
1993,"16,932",15101,1831
1994,"17,410",15500,1910
1995,"18,580",16400,2180
1996,"19,230",16800,2430
1997,"19,700",17300,2400
1998,"20,090",17800,2290
1999,"19,710",17400,2310
2000,"19,520",17500,2020
2001,"18,840",17000,1840
2002,"17,840",16500,1340
2003,"19,160",17700,1460
2004,"19,920",18400,1520
2005,"20,090",18600,1490
2006,"21,020",19400,1620
2007,"20,230",18700,1530
2008,"19,870",18400,1470
2009,"15,760",14500,1260
2010,"18,280",16900,1380
2011,"19,130",17700,1430
2012,"18,840",17500,1340
2013,"19,190",17800,1390
2014,"19,500",18100,1400
2015,"18,280",17000,1280
2016,"17,330",16100,1230
2017,"17,600",16400,1200
2018,"18,120","16,900",1220
2019,"16,880",15700,1180
2020,"15,870",14700,1170
2021,"16,820",15700,1120
