Year,limestone used ONLY in portland (converted to Thousand Metric Tons),limestone used in ONLY in portland (raw units),Units,,
1968,75978,83751,Thousand Short Tons,Both combined,use 1970
1969,76387,84202,Thousand Short Tons,Both combined,use 1970
1970,75505,83230,Thousand Short Tons,Both combined,https://asset.library.wisc.edu/1711.dl/AFP34XNUDRM7M9A/M/h1380-658d7.jpg
1971,77888,85857,Thousand Short Tons,Both combined,https://asset.library.wisc.edu/1711.dl/UDP3VWNIQFRBC84/M/h1380-be1d7.jpg
1972,77040,84922,Thousand Short Tons,Both combined,use 1973
1973,78652,86699,Thousand Short Tons,Both combined,https://asset.library.wisc.edu/1711.dl/5LXHDZ5YES24L8Y/M/h1380-adfeb.jpg
1974,79530,87667,Thousand Short Tons,Both combined,use 1975
1975,69322,76414,Thousand Short Tons,Both combined,https://asset.library.wisc.edu/1711.dl/Y73XTE2CXZSO58A/M/h1380-91484.jpg
1976,73792,81342,Thousand Short Tons,Both combined,use 1977
1977,73908,81470,Thousand Short Tons,Both combined,https://asset.library.wisc.edu/1711.dl/TXKDZE4S4UJS29E/M/h1380-8f5ee.jpg
1978,71170,78452,Thousand Short Tons,Both combined,https://asset.library.wisc.edu/1711.dl/XRII5ODYUG3XW82/M/h1380-6de1c.jpg
1979,73578,81106,Thousand Short Tons,Both combined,use 1981
1980,71023,78289,Thousand Short Tons,Both combined,use 1981
1981,66248,73026,Thousand Short Tons,Both combined,https://asset.library.wisc.edu/1711.dl/IPD2TAKYVBV7U8Q/M/h1380-841be.jpg
1982,64689,71307,Thousand Short Tons,Both combined,use 1984
1983,66293,73075,Thousand Short Tons,Both combined,use 1984
1984,71200,78484,Thousand Short Tons,Both combined,https://asset.library.wisc.edu/1711.dl/NNP5NNSILB7CZ8A/M/h1380-636af.jpg
1985,70422,77627,Thousand Short Tons,Both combined,use 1987
1986,71663,78995,Thousand Short Tons,Both combined,use 1987
1987,73612,81143,Thousand Short Tons,Both combined,https://asset.library.wisc.edu/1711.dl/OZSNW7N2MAOX28N/M/h1380-41a6a.jpg
1988,72137,79517,Thousand Short Tons,Both combined,use 1990
1989,74200,81792,Thousand Short Tons,Both combined,use 1990
1990,78107,86098,Thousand Short Tons,Both combined,https://asset.library.wisc.edu/1711.dl/6CMM5ECJBCLNL8I/M/h1380-e441d.jpg
1991,71213,71213,Thousand Metric Tons,Both combined,use 1993
1992,70897,70897,Thousand Metric Tons,Both combined,use 1993
1993,78958,78958,Thousand Metric Tons,Both combined,https://asset.library.wisc.edu/1711.dl/775S252L2DZ2W8C/M/h1380-24714.jpg
1994,78427,"78,427",Thousand Metric Tons,Both combined,use 1995
1995,80142,"80,142",Thousand Metric Tons,Both combined,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/cement/170495.pdf
1996,80016,"80,016",Thousand Metric Tons,Both combined,use 1997
1997,83770,"83,770",Thousand Metric Tons,Both combined,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/cement/170497.pdf
1998,87784,87784,Thousand Metric Tons,Clinker + Cement,use 1999
1999,92159,92159,Thousand Metric Tons,Clinker + Cement,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/cement/170499.pdf
2000,95210,95210,Thousand Metric Tons,Clinker + Cement,use 2001
2001,97200,97200,Thousand Metric Tons,Clinker + Cement,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/cement/cememyb01.pdf
2002,108330,108330,Thousand Metric Tons,Clinker + Cement,use 2003
2003,110530,110530,Thousand Metric Tons,Clinker + Cement,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/cement/cemenmyb03.pdf
2004,114810,114810,Thousand Metric Tons,Clinker + Cement,use 2005
2005,116230,116230,Thousand Metric Tons,Clinker + Cement,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/mineral-pubs/cement/cemenmyb05.pdf
2006,116380,116380,Thousand Metric Tons,Clinker + Cement,use 2007
2007,114150,114150,Thousand Metric Tons,Clinker + Cement,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb1-2007-cemen.pdf
2008,102920,102920,Thousand Metric Tons,Clinker + Cement,use 2009
2009,75110,75110,Thousand Metric Tons,Clinker + Cement,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb1-2009-cemen.pdf
2010,80050,80050,Thousand Metric Tons,Clinker + Cement,use 2011
2011,81500,81500,Thousand Metric Tons,Clinker + Cement,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb1-2011-cemen.pdf
2012,88520,88520,Thousand Metric Tons,Clinker + Cement,use 2013
2013,92460,92460,Thousand Metric Tons,Clinker + Cement,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb1-2013-cemen.pdf
2014,99650,99650,Thousand Metric Tons,Clinker + Cement,use 2015
2015,100170,100170,Thousand Metric Tons,Clinker + Cement,https://d9-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb1-2015-cemen.pdf
2016,102170,102170,Thousand Metric Tons,Clinker + Cement,use 2017
2017,"104,070","104,070",Thousand Metric Tons,Clinker + Cement,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb1-2017-cemen.pdf
2018,103860,103860,Thousand Metric Tons,Clinker + Cement,2019 XLS
2019,105750,105750,Thousand Metric Tons,Clinker + Cement,2019 XLS
2020,110280,110280,Thousand Metric Tons,Clinker + Cement,2021 XLS
2021,"112,960","112,960",Thousand Metric Tons,Clinker + Cement,2021 XLS
