Entity,Code,Year,Oil per capita (kWh)
Africa,,1965,1.0643536
Africa,,1966,1.123739
Africa,,1967,1.0917719
Africa,,1968,1.1250367000000001
Africa,,1969,1.1181862
Africa,,1970,1.1903859
Africa,,1971,1.2645233
Africa,,1972,1.326809
Africa,,1973,1.3911605999999999
Africa,,1974,1.4030577000000002
Africa,,1975,1.4313520000000002
Africa,,1976,1.5191476000000002
Africa,,1977,1.5739017
Africa,,1978,1.6114974
Africa,,1979,1.6478928000000002
Africa,,1980,1.6990265
Africa,,1981,1.7865077000000003
Africa,,1982,1.8148057
Africa,,1983,1.8363589
Africa,,1984,1.8179690000000002
Africa,,1985,1.8128654
Africa,,1986,1.7221410000000001
Africa,,1987,1.7660182
Africa,,1988,1.7895295000000002
Africa,,1989,1.7991199
Africa,,1990,1.7797166
Africa,,1991,1.7429006
Africa,,1992,1.7322289000000002
Africa,,1993,1.7063066
Africa,,1994,1.7183127
Africa,,1995,1.7338383
Africa,,1996,1.7275974
Africa,,1997,1.7388177
Africa,,1998,1.737328
Africa,,1999,1.7575641000000002
Africa,,2000,1.7192625000000001
Africa,,2001,1.6950035
Africa,,2002,1.6927368
Africa,,2003,1.7012615000000002
Africa,,2004,1.7367056
Africa,,2005,1.7686054999999998
Africa,,2006,1.7411387999999999
Africa,,2007,1.7614183
Africa,,2008,1.8032052
Africa,,2009,1.8197079
Africa,,2010,1.8479781000000002
Africa,,2011,1.7699966999999999
Africa,,2012,1.8335289000000001
Africa,,2013,1.8512953
Africa,,2014,1.82221
Africa,,2015,1.8251935000000001
Africa,,2016,1.7918071
Africa,,2017,1.7680846
Africa,,2018,1.7417183
Africa,,2019,1.7134353000000002
Africa,,2020,1.4878962
Africa,,2021,1.5845016
Africa,,2022,1.632822
Algeria,DZA,1965,1.2442393
Algeria,DZA,1966,1.6072358
Algeria,DZA,1967,1.4687021
Algeria,DZA,1968,1.5288707
Algeria,DZA,1969,1.5792673
Algeria,DZA,1970,1.764847
Algeria,DZA,1971,1.9446864000000001
Algeria,DZA,1972,2.0860066
Algeria,DZA,1973,2.2250300000000003
Algeria,DZA,1974,2.4115613
Algeria,DZA,1975,2.583876
Algeria,DZA,1976,2.8312890000000004
Algeria,DZA,1977,3.0819358
Algeria,DZA,1978,3.0969794999999998
Algeria,DZA,1979,3.5954580000000003
Algeria,DZA,1980,3.5327976
Algeria,DZA,1981,3.6856887
Algeria,DZA,1982,3.7786523
Algeria,DZA,1983,4.1046304000000005
Algeria,DZA,1984,4.3939453
Algeria,DZA,1985,4.362454
Algeria,DZA,1986,4.283666
Algeria,DZA,1987,4.2016494
Algeria,DZA,1988,4.0907686
Algeria,DZA,1989,4.175921000000001
Algeria,DZA,1990,4.3816635999999995
Algeria,DZA,1991,4.2331133
Algeria,DZA,1992,4.1607373
Algeria,DZA,1993,4.048898
Algeria,DZA,1994,3.796072
Algeria,DZA,1995,3.62182
Algeria,DZA,1996,3.395663
Algeria,DZA,1997,3.312638
Algeria,DZA,1998,3.3637388
Algeria,DZA,1999,3.2590149999999998
Algeria,DZA,2000,3.351218
Algeria,DZA,2001,3.4221782
Algeria,DZA,2002,3.7438213
Algeria,DZA,2003,3.8424807000000003
Algeria,DZA,2004,3.9602
Algeria,DZA,2005,4.072416700000001
Algeria,DZA,2006,4.1826045
Algeria,DZA,2007,4.6018936
Algeria,DZA,2008,4.915183600000001
Algeria,DZA,2009,5.118031
Algeria,DZA,2010,5.064986299999999
Algeria,DZA,2011,5.260235
Algeria,DZA,2012,5.485564999999999
Algeria,DZA,2013,5.6203384
Algeria,DZA,2014,5.725598
Algeria,DZA,2015,5.971919
Algeria,DZA,2016,5.6908199999999995
Algeria,DZA,2017,5.482037999999999
Algeria,DZA,2018,5.4329160000000005
Algeria,DZA,2019,5.548512700000001
Algeria,DZA,2020,4.877268
Algeria,DZA,2021,5.006094
Algeria,DZA,2022,5.3140444
Argentina,ARG,1965,12.479375000000001
Argentina,ARG,1966,12.671285
Argentina,ARG,1967,12.775620000000002
Argentina,ARG,1968,12.84115
Argentina,ARG,1969,13.122487999999999
Argentina,ARG,1970,11.677968000000002
Argentina,ARG,1971,12.240286000000001
Argentina,ARG,1972,11.993199
Argentina,ARG,1973,11.878162
Argentina,ARG,1974,11.674927
Argentina,ARG,1975,10.853022000000001
Argentina,ARG,1976,11.039656
Argentina,ARG,1977,11.441949000000001
Argentina,ARG,1978,10.952181000000001
Argentina,ARG,1979,11.593968
Argentina,ARG,1980,10.598398999999999
Argentina,ARG,1981,9.782691000000002
Argentina,ARG,1982,9.162966
Argentina,ARG,1983,9.1333545
Argentina,ARG,1984,8.563011000000001
Argentina,ARG,1985,7.841843300000001
Argentina,ARG,1986,8.1222524
Argentina,ARG,1987,8.539722
Argentina,ARG,1988,8.468091000000001
Argentina,ARG,1989,7.6586846
Argentina,ARG,1990,7.0462485
Argentina,ARG,1991,7.2580540000000004
Argentina,ARG,1992,7.5281294
Argentina,ARG,1993,7.2818145
Argentina,ARG,1994,7.5820625
Argentina,ARG,1995,7.426966999999999
Argentina,ARG,1996,7.341881000000001
Argentina,ARG,1997,7.686508300000001
Argentina,ARG,1998,7.818395499999999
Argentina,ARG,1999,7.833100000000001
Argentina,ARG,2000,7.1468154
Argentina,ARG,2001,6.546032
Argentina,ARG,2002,6.1467207
Argentina,ARG,2003,6.204642
Argentina,ARG,2004,6.5863555
Argentina,ARG,2005,6.825212400000001
Argentina,ARG,2006,7.1263276
Argentina,ARG,2007,7.839497000000001
Argentina,ARG,2008,7.851157000000001
Argentina,ARG,2009,7.4236875
Argentina,ARG,2010,7.9667826999999996
Argentina,ARG,2011,8.186556
Argentina,ARG,2012,8.593352999999999
Argentina,ARG,2013,9.025606
Argentina,ARG,2014,8.871545000000001
Argentina,ARG,2015,8.965241
Argentina,ARG,2016,8.608202
Argentina,ARG,2017,8.432202
Argentina,ARG,2018,7.9846189999999995
Argentina,ARG,2019,7.192507
Argentina,ARG,2020,6.3992114
Argentina,ARG,2021,7.909122000000001
Argentina,ARG,2022,8.41091
Asia,,1965,1.1743967
Asia,,1966,1.2867227
Asia,,1967,1.443804
Asia,,1968,1.5915286000000002
Asia,,1969,1.7890397
Asia,,1970,2.0028114
Asia,,1971,2.1776816
Asia,,1972,2.3012262999999997
Asia,,1973,2.557611
Asia,,1974,2.4986436
Asia,,1975,2.4291172000000003
Asia,,1976,2.5693445
Asia,,1977,2.6860947
Asia,,1978,2.8045592999999998
Asia,,1979,2.8541464999999997
Asia,,1980,2.6437268
Asia,,1981,2.5672295
Asia,,1982,2.5047307
Asia,,1983,2.5454575
Asia,,1984,2.6192759999999997
Asia,,1985,2.817835
Asia,,1986,2.8264314
Asia,,1987,2.8647153
Asia,,1988,3.0134062
Asia,,1989,3.0950173
Asia,,1990,3.2120637000000003
Asia,,1991,3.2643298
Asia,,1992,3.3944026
Asia,,1993,3.4735486
Asia,,1994,3.5972532000000004
Asia,,1995,3.7412021
Asia,,1996,3.8448960000000003
Asia,,1997,3.9709597
Asia,,1998,3.8388237
Asia,,1999,3.9057239
Asia,,2000,3.9881889999999998
Asia,,2001,3.9758142
Asia,,2002,4.0252654
Asia,,2003,4.1353335
Asia,,2004,4.3339550000000004
Asia,,2005,4.3405913
Asia,,2006,4.4055117
Asia,,2007,4.4807188
Asia,,2008,4.480599000000001
Asia,,2009,4.4542217
Asia,,2010,4.6638850000000005
Asia,,2011,4.740752400000001
Asia,,2012,4.896301
Asia,,2013,4.930059
Asia,,2014,4.9580947
Asia,,2015,5.097747999999999
Asia,,2016,5.232383
Asia,,2017,5.3221978
Asia,,2018,5.3560547
Asia,,2019,5.3593247
Asia,,2020,5.014046400000001
Asia,,2021,5.1555728
Asia,,2022,5.2387954
Australia,AUS,1965,17.608203000000003
Australia,AUS,1966,18.464033
Australia,AUS,1967,19.84804
Australia,AUS,1968,21.225518
Australia,AUS,1969,21.392290000000003
Australia,AUS,1970,23.040455
Australia,AUS,1971,23.514574
Australia,AUS,1972,23.385406
Australia,AUS,1973,24.560434
Australia,AUS,1974,25.649025
Australia,AUS,1975,25.067176
Australia,AUS,1976,25.346879
Australia,AUS,1977,26.251754000000002
Australia,AUS,1978,26.536057
Australia,AUS,1979,26.577186
Australia,AUS,1980,25.007438
Australia,AUS,1981,24.274412
Australia,AUS,1982,23.525756
Australia,AUS,1983,20.807504
Australia,AUS,1984,21.244545
Australia,AUS,1985,21.082443
Australia,AUS,1986,20.493437999999998
Australia,AUS,1987,20.706361
Australia,AUS,1988,21.298271
Australia,AUS,1989,21.820873
Australia,AUS,1990,21.989943
Australia,AUS,1991,20.995824000000002
Australia,AUS,1992,21.219582
Australia,AUS,1993,21.668695
Australia,AUS,1994,22.217238000000002
Australia,AUS,1995,23.761453000000003
Australia,AUS,1996,24.10603
Australia,AUS,1997,24.228771000000002
Australia,AUS,1998,23.974746
Australia,AUS,1999,24.262357
Australia,AUS,2000,23.976355
Australia,AUS,2001,23.746979
Australia,AUS,2002,23.720402
Australia,AUS,2003,23.364629
Australia,AUS,2004,23.653416
Australia,AUS,2005,23.731322000000002
Australia,AUS,2006,24.118875
Australia,AUS,2007,24.303893000000002
Australia,AUS,2008,24.130219
Australia,AUS,2009,23.274232
Australia,AUS,2010,23.584307000000003
Australia,AUS,2011,24.469271000000003
Australia,AUS,2012,24.700266
Australia,AUS,2013,25.010486
Australia,AUS,2014,24.518047
Australia,AUS,2015,23.953521000000002
Australia,AUS,2016,23.629111
Australia,AUS,2017,24.382738000000003
Australia,AUS,2018,24.424742
Australia,AUS,2019,23.827363000000002
Australia,AUS,2020,20.341044999999998
Australia,AUS,2021,20.666436
Australia,AUS,2022,21.928844
Austria,AUT,1965,8.981904
Austria,AUT,1966,9.805988
Austria,AUT,1967,10.378516
Austria,AUT,1968,11.9326
Austria,AUT,1969,13.069197
Austria,AUT,1970,14.338809
Austria,AUT,1971,15.950691
Austria,AUT,1972,17.12032
Austria,AUT,1973,18.450338
Austria,AUT,1974,16.483771
Austria,AUT,1975,16.703238000000002
Austria,AUT,1976,18.167669999999998
Austria,AUT,1977,17.391002
Austria,AUT,1978,18.725535
Austria,AUT,1979,19.530852
Austria,AUT,1980,19.064092000000002
Austria,AUT,1981,17.26479
Austria,AUT,1982,16.364553
Austria,AUT,1983,15.885439
Austria,AUT,1984,15.452467
Austria,AUT,1985,15.470002000000001
Austria,AUT,1986,16.283107
Austria,AUT,1987,16.753037
Austria,AUT,1988,16.611531
Austria,AUT,1989,16.303425999999998
Austria,AUT,1990,16.760537
Austria,AUT,1991,17.910152
Austria,AUT,1992,17.246533
Austria,AUT,1993,17.249662
Austria,AUT,1994,17.042188
Austria,AUT,1995,16.96953
Austria,AUT,1996,17.533986000000002
Austria,AUT,1997,17.789555
Austria,AUT,1998,18.45278
Austria,AUT,1999,18.10091
Austria,AUT,2000,17.695607
Austria,AUT,2001,19.115992
Austria,AUT,2002,19.410805
Austria,AUT,2003,20.927860000000003
Austria,AUT,2004,20.233016
Austria,AUT,2005,20.010402
Austria,AUT,2006,19.8977
Austria,AUT,2007,18.645348000000002
Austria,AUT,2008,18.412182
Austria,AUT,2009,17.433861
Austria,AUT,2010,18.16584
Austria,AUT,2011,17.208295
Austria,AUT,2012,16.829880000000003
Austria,AUT,2013,17.219637
Austria,AUT,2014,16.381871
Austria,AUT,2015,16.078458
Austria,AUT,2016,16.421795
Austria,AUT,2017,16.578256000000003
Austria,AUT,2018,16.761139
Austria,AUT,2019,17.295617
Austria,AUT,2020,15.001742
Austria,AUT,2021,15.458235
Austria,AUT,2022,15.042984
Azerbaijan,AZE,1985,14.102963
Azerbaijan,AZE,1986,14.526389
Azerbaijan,AZE,1987,13.434894
Azerbaijan,AZE,1988,13.516213
Azerbaijan,AZE,1989,13.022565
Azerbaijan,AZE,1990,13.516019
Azerbaijan,AZE,1991,12.841299000000001
Azerbaijan,AZE,1992,12.34008
Azerbaijan,AZE,1993,12.151686
Azerbaijan,AZE,1994,11.015117
Azerbaijan,AZE,1995,9.845849000000001
Azerbaijan,AZE,1996,8.777341
Azerbaijan,AZE,1997,8.300265
Azerbaijan,AZE,1998,8.689544
Azerbaijan,AZE,1999,8.300428
Azerbaijan,AZE,2000,9.119347
Azerbaijan,AZE,2001,5.7466729999999995
Azerbaijan,AZE,2002,5.219473600000001
Azerbaijan,AZE,2003,6.016342300000001
Azerbaijan,AZE,2004,6.378218
Azerbaijan,AZE,2005,7.3702305
Azerbaijan,AZE,2006,6.517206
Azerbaijan,AZE,2007,6.3613394
Azerbaijan,AZE,2008,5.0632544
Azerbaijan,AZE,2009,4.225537
Azerbaijan,AZE,2010,4.0862898
Azerbaijan,AZE,2011,5.3240503
Azerbaijan,AZE,2012,5.520588399999999
Azerbaijan,AZE,2013,5.8407219999999995
Azerbaijan,AZE,2014,5.636089
Azerbaijan,AZE,2015,5.655188
Azerbaijan,AZE,2016,5.562169
Azerbaijan,AZE,2017,5.566207
Azerbaijan,AZE,2018,5.725064000000001
Azerbaijan,AZE,2019,5.552771
Azerbaijan,AZE,2020,5.438253
Azerbaijan,AZE,2021,6.1545630000000005
Azerbaijan,AZE,2022,6.595299
Bangladesh,BGD,1971,0.118978386
Bangladesh,BGD,1972,0.14303516
Bangladesh,BGD,1973,0.1575393
Bangladesh,BGD,1974,0.15983434
Bangladesh,BGD,1975,0.18248637
Bangladesh,BGD,1976,0.19309845
Bangladesh,BGD,1977,0.18586148
Bangladesh,BGD,1978,0.19323328
Bangladesh,BGD,1979,0.208921
Bangladesh,BGD,1980,0.22984697
Bangladesh,BGD,1981,0.23089757
Bangladesh,BGD,1982,0.22157127000000001
Bangladesh,BGD,1983,0.19273329
Bangladesh,BGD,1984,0.18904362
Bangladesh,BGD,1985,0.20569975
Bangladesh,BGD,1986,0.21649646000000003
Bangladesh,BGD,1987,0.208433
Bangladesh,BGD,1988,0.20434805
Bangladesh,BGD,1989,0.21871628
Bangladesh,BGD,1990,0.20745038
Bangladesh,BGD,1991,0.18878
Bangladesh,BGD,1992,0.20673882000000002
Bangladesh,BGD,1993,0.22720375
Bangladesh,BGD,1994,0.23229558
Bangladesh,BGD,1995,0.29588672000000005
Bangladesh,BGD,1996,0.29702542
Bangladesh,BGD,1997,0.33494913000000004
Bangladesh,BGD,1998,0.3623288
Bangladesh,BGD,1999,0.31702026
Bangladesh,BGD,2000,0.30564832000000003
Bangladesh,BGD,2001,0.35821800000000004
Bangladesh,BGD,2002,0.31963806
Bangladesh,BGD,2003,0.3215577
Bangladesh,BGD,2004,0.32742750000000004
Bangladesh,BGD,2005,0.33007240000000004
Bangladesh,BGD,2006,0.32770767
Bangladesh,BGD,2007,0.3073795
Bangladesh,BGD,2008,0.30881830000000005
Bangladesh,BGD,2009,0.2818134
Bangladesh,BGD,2010,0.3153943
Bangladesh,BGD,2011,0.39956973
Bangladesh,BGD,2012,0.44944836
Bangladesh,BGD,2013,0.45481442
Bangladesh,BGD,2014,0.49172467000000003
Bangladesh,BGD,2015,0.58971606
Bangladesh,BGD,2016,0.5974805
Bangladesh,BGD,2017,0.6740013
Bangladesh,BGD,2018,0.7611726700000001
Bangladesh,BGD,2019,0.73848114
Bangladesh,BGD,2020,0.6133309299999999
Bangladesh,BGD,2021,0.754961
Bangladesh,BGD,2022,0.8927106
Belarus,BLR,1985,29.244447
Belarus,BLR,1986,34.319714999999995
Belarus,BLR,1987,33.718176
Belarus,BLR,1988,32.464283
Belarus,BLR,1989,30.240533
Belarus,BLR,1990,29.906248
Belarus,BLR,1991,29.263934000000003
Belarus,BLR,1992,21.609281
Belarus,BLR,1993,16.643604
Belarus,BLR,1994,13.604063
Belarus,BLR,1995,11.883038
Belarus,BLR,1996,11.716042999999999
Belarus,BLR,1997,10.291534
Belarus,BLR,1998,9.762354
Belarus,BLR,1999,8.9726045
Belarus,BLR,2000,8.9185
Belarus,BLR,2001,8.675224
Belarus,BLR,2002,9.193159
Belarus,BLR,2003,9.370433
Belarus,BLR,2004,9.241566
Belarus,BLR,2005,8.659936
Belarus,BLR,2006,10.222610000000001
Belarus,BLR,2007,9.345809
Belarus,BLR,2008,9.3394375
Belarus,BLR,2009,10.812942999999999
Belarus,BLR,2010,9.31734
Belarus,BLR,2011,10.168314
Belarus,BLR,2012,12.496797
Belarus,BLR,2013,9.43413
Belarus,BLR,2014,9.608835
Belarus,BLR,2015,8.089486
Belarus,BLR,2016,8.688403000000001
Belarus,BLR,2017,8.6393125
Belarus,BLR,2018,10.055938000000001
Belarus,BLR,2019,10.2712
Belarus,BLR,2020,9.932782999999999
Belarus,BLR,2021,9.480471
Belarus,BLR,2022,9.104797000000001
Belgium,BEL,1965,20.023686
Belgium,BEL,1966,20.310373
Belgium,BEL,1967,22.283398000000002
Belgium,BEL,1968,25.758953
Belgium,BEL,1969,29.608408
Belgium,BEL,1970,32.174009999999996
Belgium,BEL,1971,32.846410000000006
Belgium,BEL,1972,35.408453
Belgium,BEL,1973,37.071830000000006
Belgium,BEL,1974,32.586107
Belgium,BEL,1975,30.87948
Belgium,BEL,1976,32.176928000000004
Belgium,BEL,1977,31.606168000000004
Belgium,BEL,1978,33.67792
